Pavarde        Vardas         Galutinis 
Pavarde100     Vardas100      6.40      
Pavarde11      Vardas11       6.00      
Pavarde15      Vardas15       6.87      
Pavarde17      Vardas17       5.07      
Pavarde19      Vardas19       6.00      
Pavarde21      Vardas21       5.67      
Pavarde23      Vardas23       6.00      
Pavarde25      Vardas25       5.40      
Pavarde26      Vardas26       5.40      
Pavarde28      Vardas28       7.53      
Pavarde3       Vardas3        6.67      
Pavarde30      Vardas30       6.60      
Pavarde32      Vardas32       5.07      
Pavarde33      Vardas33       5.40      
Pavarde34      Vardas34       5.07      
Pavarde35      Vardas35       8.87      
Pavarde36      Vardas36       8.33      
Pavarde37      Vardas37       7.47      
Pavarde40      Vardas40       5.67      
Pavarde46      Vardas46       6.93      
Pavarde47      Vardas47       7.40      
Pavarde5       Vardas5        8.47      
Pavarde50      Vardas50       6.13      
Pavarde54      Vardas54       8.87      
Pavarde57      Vardas57       6.27      
Pavarde58      Vardas58       8.33      
Pavarde60      Vardas60       8.20      
Pavarde63      Vardas63       6.87      
Pavarde65      Vardas65       8.00      
Pavarde66      Vardas66       6.00      
Pavarde69      Vardas69       7.20      
Pavarde7       Vardas7        6.93      
Pavarde71      Vardas71       6.73      
Pavarde73      Vardas73       5.27      
Pavarde74      Vardas74       8.13      
Pavarde75      Vardas75       5.80      
Pavarde77      Vardas77       8.13      
Pavarde78      Vardas78       5.47      
Pavarde80      Vardas80       7.47      
Pavarde82      Vardas82       7.47      
Pavarde83      Vardas83       7.93      
Pavarde84      Vardas84       5.73      
Pavarde85      Vardas85       5.93      
Pavarde86      Vardas86       7.87      
Pavarde87      Vardas87       7.47      
Pavarde88      Vardas88       8.20      
Pavarde89      Vardas89       7.53      
Pavarde90      Vardas90       6.60      
Pavarde92      Vardas92       8.13      
Pavarde93      Vardas93       8.33      
Pavarde94      Vardas94       8.13      
Pavarde97      Vardas97       7.13      
Pavarde99      Vardas99       6.33      
